Exam_Date,Shift,Marks_for_99.9_Percentile,Marks_for_99_Percentile,Marks_for_95_Percentile,Difficulty_Level
21 Jan 2026,Shift 1,224,158,101,Moderate-Difficult
21 Jan 2026,Shift 2,230,174,123,Easy-Moderate
22 Jan 2026,Shift 1,243,186,129,Easy-Moderate
22 Jan 2026,Shift 2,219,153,99,Moderate-Difficult
23 Jan 2026,Shift 1,227,166,112,Moderate
23 Jan 2026,Shift 2,224,158,101,Easy-Moderate
24 Jan 2026,Shift 1,236,178,120,Easy-Moderate
24 Jan 2026,Shift 2,230,174,123,Easy-Moderate
28 Jan 2026,Shift 1,228,170,114,Moderate-Difficult
28 Jan 2026,Shift 2,227,166,112,Easy-Moderate
